Id,SalePrice
1461,118936.92537811666
1462,156101.87403575872
1463,180067.86329605174
1464,192609.7752247042
1465,193657.52036397278
1466,170602.64002141828
1467,175867.6948034878
1468,166296.15967188874
1469,188966.23071451762
1470,121022.77966184237
1471,194751.9656601208
1472,92652.61716635637
1473,93813.22425556961
1474,148825.13918172245
1475,114040.6271737448
1476,364829.5537540148
1477,253040.38081833994
1478,293448.940799015
1479,276171.4079521991
1480,459610.299369938
1481,332427.1954803821
1482,215986.23783961922
1483,175682.64001739267
1484,163169.1223084162
1485,185492.25857144446
1486,194506.72663998394
1487,342294.3013174676
1488,237877.56364819343
1489,197950.53154113513
1490,231324.81121955576
1491,192207.25731390077
1492,90838.79991211428
1493,181565.38288785907
1494,296489.5255898067
1495,292204.93214954843
1496,231901.30423100284
1497,181858.1840494642
1498,165378.16989654786
1499,160173.28048174945
1500,157200.18747460717
1501,175277.93895995896
1502,144037.43915977917
1503,283538.16264120874
1504,241737.24339277882
1505,222517.71575007302
1506,193161.38829035984
1507,247429.58931227805
1508,201222.220241108
1509,159522.78869000642
1510,145140.4063363067
1511,149485.56761921963
1512,175785.62826406106
1513,148658.24767731517
1514,160481.98040648422
1515,193538.29944706088
1516,152952.90626835258
1517,163503.4130221047
1518,129604.91612251732
1519,214984.10319078344
1520,131557.06720277836
1521,131546.5308563496
1522,170658.45151339393
1523,115880.26301361533
1524,122354.93970654
1525,120892.16198747598
1526,114908.7288226692
1527,103697.6319712114
1528,132973.15804475397
1529,149247.7476715387
1530,181023.88703753214
1531,108104.30936630846
1532,98154.40746806037
1533,150967.25057786942
1534,122581.68100803113
1535,149048.79022936337
1536,110490.94248646943
1537,64221.64211832878
1538,155159.719317875
1539,187013.47287315427
1540,95275.28967947287
1541,141137.33672309152
1542,140561.49996493445
1543,198519.23001643203
1544,82202.60614422856
1545,111144.85927434867
1546,133966.3024769423
1547,133577.37561274294
1548,136557.19076845277
1549,115276.55410908257
1550,135615.51665707983
1551,106369.25890917283
1552,135421.43115823492
1553,149117.23396610748
1554,117542.52067050144
1555,163428.38421653648
1556,87050.99380465072
1557,107926.71382577931
1558,94713.09832133094
1559,72756.59649350846
1560,137653.0934066468
1561,136295.86438824315
1562,128030.55845070526
1563,121820.52216374046
1564,158634.12861415194
1565,146645.41417062067
1566,237570.8618723177
1567,72950.22613354902
1568,236393.1121546098
1569,127432.063844585
1570,138187.43428215486
1571,123427.05374529614
1572,141928.3602937774
1573,230431.16293181738
1574,123643.50717794738
1575,223699.29844821623
1576,242005.63103387403
1577,186388.60482444798
1578,139511.4045636234
1579,146332.85716648446
1580,190230.64882304773
1581,149150.97940958702
1582,126659.4063774503
1583,308627.7983171042
1584,219419.9981925085
1585,136558.1962187583
1586,68040.54295033813
1587,99115.14942403938
1588,151661.30203664675
1589,102782.52864913321
1590,133734.51630535626
1591,96298.63344748295
1592,113334.37845386528
1593,124988.82358092765
1594,135571.36762975648
1595,109539.28871388242
1596,229340.06030661034
1597,177801.95056989012
1598,215071.76021339107
1599,166887.98295508648
1600,166665.9287829822
1601,66425.75155658377
1602,111588.32176085014
1603,82445.06687287029
1604,263581.11097130453
1605,248386.77770492324
1606,172842.92565763617
1607,178268.02020198072
1608,216879.90440807948
1609,185173.55853435968
1610,149067.4312814448
1611,141208.8309645872
1612,168638.73802297574
1613,166110.5192900009
1614,127014.35516001552
1615,90362.72564507664
1616,77256.16017902232
1617,90951.091942123
1618,125693.71510608381
1619,137529.93195215875
1620,160644.43991048765
1621,134126.07315347952
1622,141790.24028550825
1623,286624.14410461206
1624,213703.19794724317
1625,116044.66307149146
1626,167350.17636436797
1627,187926.62646714807
1628,276599.06931627257
1629,177476.37738073408
1630,352402.1364076808
1631,229115.20786478388
1632,243128.2859686229
